time,open,high,low,close,EMA,VWAP,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1777174260,77360.1,77367.4,77360,77366.7,77409.6547543787,77490.6160303679,15.029198655882553,30.428429691798534,,,,
1777174320,77366.7,77386.1,77360,77360,77398.62036451677,77489.8658855883,12.689704000355363,24.60644399159408,,,,
1777174380,77360,77361.8,77360,77360.1,77390.06028351304,77489.11531590643,12.992923596242605,23.74835348389711,,,,
1777174440,77360.1,77360.2,77300,77329.3,77376.55799828793,77481.98379971068,4.988686161686587,20.410878512293987,,,,
1777174500,77329.3,77333.4,77280,77305.8,77360.83399866839,77479.09708153953,2.9258254728754167,16.941650435474816,,,,
1777174560,77305.8,77333.9,77280,77287.6,77344.55977674208,77475.53378690894,1.9764111244487452,15.499771104423369,,,,
1777174620,77287.6,77315.5,77280.9,77298.2,77334.25760413273,77473.687083436,23.627126146906903,15.61081680552704,,,,
1777174680,77298.1,77307,77282.9,77307,77328.2003587699,77472.41039101836,40.1019980410966,14.775078692985819,,,,
1777174740,77306.9,77318.9,77298.1,77309.9,77324.1336123766,77471.25973891809,45.87362724330724,16.569213361126405,,,,
1777174800,77309.9,77321.9,77306.7,77317,77322.54836518179,77470.88338627965,60.0208514623945,19.628855211792132,,,,
1777174860,77317,77321.9,77316.9,77318.5,77321.64872847473,77470.40101868533,63.07900885428788,22.051016793148097,,,,
1777174920,77318.4,77330,77318.4,77330,77323.50456659145,77470.00461514766,80.35781919081225,26.569159399796607,,,,
1777174980,77329.9,77339.4,77329.9,77339.4,77327.03688512668,77469.81782016426,87.51927768613753,32.464772549137486,,,,
1777175040,77339.4,77341.4,77339.3,77341.4,77330.22868843186,77469.62667841803,88.82016739178836,38.57161607344445,,,,
1777175100,77341.4,77341.4,77321.6,77327.4,77329.60009100256,77468.33342428319,42.40769401415605,40.5272228847497,,,,
1777175160,77327.5,77340.8,77327.4,77340.7,77332.06673744644,77468.12875243202,66.98873130601069,44.405724835153656,,,,
1777175220,77340.7,77340.8,77340.7,77340.7,77333.98524023611,77468.03305518413,66.98873130601069,48.262568242994234,,,,
1777175280,77340.8,77340.8,77340.7,77340.8,77335.49963129476,77467.85912242402,67.22538009082514,52.70804638078984,,,,
1777175340,77340.7,77340.8,77340.7,77340.8,77336.67749100704,77467.75473375659,67.22538009082515,57.30087171064339,,,,
1777175400,77340.7,77341.6,77340.7,77341.5,77337.74915967214,77467.53689867334,70.5504534643014,62.199017592061445,,,,
1777175460,77341.6,77360,77341.5,77344.9,77339.33823530054,77467.14341648859,83.06675301348298,66.4447052253883,,,,
1777175520,77344.8,77344.9,77340.3,77340.3,77339.55196078931,77466.81177919198,44.599199150082804,66.76593387603018,,,,
1777175580,77340,77340.1,77329.9,77337.7,77339.14041394724,77466.28174026786,32.0253551928936,65.77677158671491,,,,
1777175640,77337.6,77347.4,77337.6,77340.8,77339.50921084786,77465.95799507195,54.810721621458455,65.40461945521949,,,,
1777175700,77340.8,77370.1,77340.8,77370.1,77346.30716399278,77465.61378056186,92.14417338260758,67.48070263581377,,,,
1777175760,77370.1,77370.1,77355.9,77355.9,77348.43890532771,77465.42697726013,57.56904767546645,65.8529332418605,,,,
1777175820,77355.9,77367.6,77355.9,77367.5,77352.67470414378,77465.23606464404,70.93346558064965,64.6682323771828,,,,
1777175880,77367.5,77386.1,77367.5,77386,77360.08032544516,77465.02076391807,83.42352409936085,64.28275785629512,,,,
1777175940,77386,77386,77344.9,77349.3,77357.68469756846,77463.42447118649,36.61069977778845,63.868686839411716,,,,
1777176000,77349.3,77349.3,77338.4,77340.4,77353.84365366436,77462.87391961065,30.404456946391335,61.255524385153194,,,,
1777176060,77340.3,77349.3,77340.3,77348.6,77352.6783972945,77462.44737280296,43.61447638580721,59.58593474799579,,,,
1777176120,77348.6,77366.2,77348.5,77366.1,77355.6609756735,77461.85665837786,64.92625280714906,59.42171137059036,,,,
1777176180,77366.2,77375.6,77364.5,77364.6,77357.64742552383,77461.65809359287,61.917345346892816,59.04256603173805,,,,
1777176240,77364.5,77369.4,77344.9,77344.9,77354.81466429631,77461.29254558617,32.36719186155777,56.31519020297065,,,,
1777176300,77344.9,77358.9,77344.9,77358.8,77355.70029445269,77461.12185597913,55.06458579660545,54.315035401765115,,,,
1777176360,77358.8,77388.4,77356,77374.9,77359.96689568543,77460.39997770559,71.61502266716907,56.24473708155699,,,,
