sig,e_bar,x_bar,dir,variant,entry,stop_d,gross_r,cost_r,net_r,n_swaps,t_entry,t_exit
26069,26070,26071,short,B,51403.09,353.5135564017037,-1.0,0.14540627670184667,-1.1454062767018467,0,1633468500,1633469400
26399,26400,26413,short,B,54898.56,381.48273932904704,-1.0,0.15182333256248057,-1.1518233325624805,1,1633765500,1633777200
26422,26423,26423,short,B,54981.7,431.0340973955608,-1.0,0.12755765804194183,-1.1275576580419417,0,1633786200,1633786200
27267,27268,27342,short,B,61723.15,1003.5332930285731,-1.0,0.07503711488509227,-1.0750371148850923,4,1634546700,1634613300
27348,27349,27383,short,B,62474.95,656.2591492163192,-1.0,0.10567044220688107,-1.105670442206881,2,1634619600,1634650200
27671,27672,27673,short,B,63310.01,637.0521520915063,2.0,0.0993796344493098,1.9006203655506901,0,1634910300,1634911200
28139,28140,28197,long,B,58949.28,837.4946915102482,-1.0,0.08587292830514609,-1.085872928305146,4,1635331500,1635382800
28535,28536,28566,long,B,60415.0,386.2457268263897,2.0,0.17362172664279732,1.8263782733572027,2,1635687900,1635714900
28937,28938,28973,long,B,61117.62,499.07416866657877,2.0,0.13593281812451988,1.8640671818754802,2,1636049700,1636081200
29045,29046,29086,long,B,61225.08,602.7802660921298,-1.0,0.11274396761624067,-1.1127439676162407,2,1636146900,1636182900
29286,29287,29341,short,B,66118.88,551.1708890283771,-1.0,0.139754288068059,-1.1397542880680591,3,1636363800,1636412400
29504,29505,29519,short,B,68398.96,546.7128105560405,2.0,0.12510948834440894,1.874890511655591,0,1636560000,1636572600
29551,29552,29671,long,B,64618.97,839.9392858601495,-1.0,0.11078338442606567,-1.1107833844260657,8,1636602300,1636709400
29681,29682,29686,long,B,64103.44,769.4684792390981,-1.0,0.08330872768614223,-1.0833087276861422,0,1636719300,1636722900
29697,29698,29698,long,B,63293.85,504.91802056013694,-1.0,0.12535470595758139,-1.1253547059575815,0,1636733700,1636733700
30008,30009,30010,long,B,63927.4,384.97819153678574,-1.0,0.16605460102768332,-1.1660546010276833,0,1637013600,1637014500
30043,30044,30057,long,B,60659.89,802.7640061445854,-1.0,0.07971979742508993,-1.0797197974250898,1,1637045100,1637056800
30265,30266,30270,long,B,59016.77,464.1678917372046,-1.0,0.12714530895086815,-1.127145308950868,0,1637244900,1637248500
30304,30305,30316,long,B,56921.04,774.1479785629999,-1.0,0.07352733789431162,-1.0735273378943115,0,1637280000,1637289900
30385,30386,30401,short,B,57943.13,362.4276336046605,-1.0,0.16866816015657674,-1.1686681601565767,1,1637352900,1637366400
30498,30499,30512,short,B,59570.36,434.36392586675356,2.0,0.1371438935246062,1.8628561064753937,0,1637454600,1637466300
30727,30728,30946,long,B,56940.88,1232.4006643999892,2.0,0.08177970079971411,1.918220299200286,14,1637660700,1637856900
30743,30744,30748,short,B,56859.47,457.9644970890804,-1.0,0.12415693871776277,-1.1241569387177628,0,1637675100,1637678700
30752,30753,30883,short,B,56921.97,1217.134193478858,-1.0,0.06734478189764523,-1.0673447818976451,8,1637683200,1637800200
30954,30955,30988,short,B,59083.35,435.8922487997479,2.0,0.15045580342523845,1.8495441965747617,2,1637865000,1637894700
31044,31045,31065,long,B,54313.51,447.4984998183427,-1.0,0.12804680478987224,-1.1280468047898722,1,1637946000,1637964000
31074,31075,31243,long,B,54376.79,1015.5605783298743,-1.0,0.08299261146844446,-1.0829926114684445,10,1637973000,1638124200
31140,31141,31179,short,B,54918.52,454.193403116893,2.0,0.13421497710373217,1.8657850228962678,2,1638032400,1638066600
31871,31872,31901,short,B,49410.39,421.7811819436465,2.0,0.13003314336420022,1.8699668566357999,2,1638690300,1638716400
32099,32100,32171,short,B,51275.01,843.4607622577241,2.0,0.07416529019388553,1.9258347098061144,4,1638895500,1638959400
32281,32282,32283,long,B,49317.82,445.59273804361146,-1.0,0.11067913767295982,-1.11067913767296,0,1639059300,1639060200
32442,32443,32481,short,B,48340.39,727.2658061197144,-1.0,0.07743599915754845,-1.0774359991575484,3,1639204200,1639238400
32516,32517,32568,short,B,49309.61,527.6338441085318,-1.0,0.10887416774232492,-1.1088741677423248,3,1639270800,1639316700
32676,32677,32686,long,B,47141.09,441.7496481959097,-1.0,0.10671449358821808,-1.106714493588218,0,1639414800,1639422900
33321,33322,33333,long,B,46066.87,473.75337919097365,-1.0,0.10258617665797956,-1.1025861766579796,1,1639995300,1640005200
35074,35075,35177,long,B,41678.02,886.1344117668996,-1.0,0.0625545807316887,-1.0625545807316887,6,1641573000,1641664800
35181,35182,35194,long,B,41012.02,622.9283313897831,2.0,0.06945852182299642,1.9305414781770036,1,1641669300,1641680100
35719,35720,35724,long,B,42572.31,283.8723390209052,-1.0,0.1499699130490655,-1.1499699130490655,0,1642153500,1642157100
35845,35846,35848,short,B,43250.01,283.7739221450465,-1.0,0.15241009347537385,-1.1524100934753738,0,1642266900,1642268700
35942,35943,35983,short,B,43260.01,293.3803910156421,2.0,0.16367355341563988,1.83632644658436,2,1642354200,1642390200
36354,36355,36359,long,B,40904.24,609.3116966278467,-1.0,0.0671318804913462,-1.067131880491346,0,1642725000,1642728600
36796,36797,36805,short,B,36285.69,781.0612364004046,-1.0,0.049012037937541886,-1.0490120379375418,1,1643122800,1643130000
36944,36945,36969,long,B,35730.42,449.4119818333493,2.0,0.08387758810128533,1.9161224118987146,1,1643256000,1643277600
36988,36989,36998,short,B,36856.19,331.8944621056653,2.0,0.11715555662878377,1.8828444433712161,1,1643295600,1643303700
37017,37018,37023,long,B,35889.02,573.3434712212402,2.0,0.06259602106143325,1.9374039789385669,0,1643321700,1643326200
37596,37597,37641,long,B,36992.97,537.4516785300584,-1.0,0.08018732059386377,-1.0801873205938637,3,1643842800,1643882400
38006,38007,38043,short,B,42742.04,300.97706675513473,-1.0,0.15763215753112061,-1.1576321575311206,2,1644211800,1644244200
38059,38060,38104,short,B,43882.3,627.8719555329299,-1.0,0.08142246050248819,-1.0814224605024882,3,1644259500,1644299100
39042,39043,39087,long,B,40567.1,407.439193543054,-1.0,0.11051828521558703,-1.110518285215587,2,1645144200,1645183800
39105,39106,39251,long,B,39958.4,474.11685254108306,-1.0,0.12599806920979173,-1.1259980692097917,9,1645200900,1645331400
39189,39190,39251,long,B,39850.5,252.51930106621876,-1.0,0.19253027311069137,-1.1925302731106915,4,1645276500,1645331400
39381,39382,39386,long,B,37645.5,365.266803623068,2.0,0.10306302030897872,1.8969369796910214,0,1645449300,1645452900
39442,39443,39480,long,B,36684.0,627.8153707343954,2.0,0.06485862229267839,1.9351413777073216,2,1645504200,1645537500
39723,39724,39750,short,B,38692.0,321.1608866447423,2.0,0.1337277414092701,1.8662722585907299,2,1645757100,1645780500
39727,39728,39745,short,B,38799.4,306.27290736204304,2.0,0.140617511261257,1.859382488738743,2,1645760700,1645776000
39849,39850,39909,long,B,38915.0,478.52818154459965,-1.0,0.09921317454440272,-1.0992131745444027,4,1645870500,1645923600
40093,40094,40146,short,B,43252.1,855.7116390798692,-1.0,0.061665121274662074,-1.0616651212746622,4,1646090100,1646136900
40811,40812,40831,short,B,38930.7,274.5984651816543,2.0,0.1495707139980911,1.850429286001909,1,1646736300,1646753400
41009,41010,41015,long,B,39073.8,267.35813241816504,-1.0,0.1461477892839486,-1.1461477892839487,0,1646914500,1646919000
41985,41986,41989,long,B,41413.4,255.93065800747718,-1.0,0.16181492409865988,-1.16181492409866,0,1647792900,1647795600
42031,42032,42071,long,B,40855.8,329.7915547298544,2.0,0.1443245174637314,1.8556754825362687,3,1647834300,1647869400
42458,42459,42464,short,B,44851.7,307.01678288062976,2.0,0.1460887563838445,1.8539112436161556,0,1648218600,1648223100
43426,43427,43431,long,B,45730.7,283.1494207825308,-1.0,0.16150730548420533,-1.1615073054842053,0,1649089800,1649093400
43456,43457,43506,short,B,46580.9,417.63650414602307,-1.0,0.12993775199551544,-1.1299377519955154,3,1649116800,1649160900
43653,43654,43817,long,B,43149.9,540.2725518447769,-1.0,0.12379371258382132,-1.1237937125838213,10,1649294100,1649440800
44087,44088,44090,long,B,41040.8,261.3435918202158,-1.0,0.1570377131276014,-1.1570377131276013,0,1649684700,1649686500
44104,44105,44110,long,B,40441.8,395.6243951495926,-1.0,0.102222715524679,-1.102222715524679,0,1649700000,1649704500
44403,44404,44448,long,B,39817.8,306.4644799844318,2.0,0.14421820761167892,1.855781792388321,2,1649969100,1650008700
44781,44782,44790,short,B,40509.3,536.0903860198378,-1.0,0.07972034681931142,-1.0797203468193115,1,1650309300,1650316500
45476,45477,45506,short,B,40530.2,256.8051429625484,-1.0,0.17518544013957296,-1.175185440139573,2,1650934800,1650960900
45955,45956,45959,long,B,37705.5,254.59123848818854,-1.0,0.14810211154123948,-1.1481021115412395,0,1651365900,1651368600
