time,open,high,low,close,Smoothed Heiken Ashi (Open),Smoothed Heiken Ashi (High,Smoothed Heiken Ashi (Low),Smoothed Heiken Ashi (Close),Hollow Candles (Open),Hollow Candles (High,Hollow Candles (Low),Hollow Candles (Close),Bars (Open),Bars (High,Bars (Low),Bars (Close),Mny Flow
1773828900,1.5201,1.5201,1.5173,1.5178,1.5225271895186459,1.5244247705060932,1.5194348281270138,1.5218134957204439,1.522304063147181,1.522304063147181,1.5173,1.518825,1.522304063147181,1.522304063147181,1.5173,1.518825,-19.907493307464502
1773829800,1.5179,1.5191,1.5089,1.5099,1.522170342619545,1.5237229088820017,1.517519404831193,1.5203837692258177,1.5205645315735905,1.5205645315735905,1.5089,1.51395,1.5205645315735905,1.5205645315735905,1.5089,1.51395,-24.290376959846036
1773830700,1.51,1.5115,1.5086,1.5102,1.5212770559226814,1.522547337410146,1.5158976948618852,1.5185094475483965,1.517257265786795,1.517257265786795,1.5086,1.510075,1.517257265786795,1.517257265786795,1.5086,1.510075,-25.262259400086556
1773831600,1.5102,1.5115,1.5031,1.5094,1.5198932517355388,1.5209325729525554,1.5135708412506335,1.5166986389032335,1.5136661328933976,1.5136661328933976,1.5031,1.50855,1.5136661328933976,1.5136661328933976,1.5031,1.50855,-24.362110788581056
1773832500,1.5095,1.5113,1.5014,1.5024,1.518295945319386,1.5191811960520907,1.5113579610232455,1.514780704557191,1.511108066446699,1.5113,1.5014,1.50615,1.511108066446699,1.5113,1.5014,1.50615,-26.975706054696033
1773833400,1.5025,1.5039,1.483,1.4914,1.5165383249382884,1.5172626209923195,1.5062019681099281,1.5112205764558837,1.5086290332233494,1.5086290332233494,1.483,1.4952,1.5086290332233494,1.5086290332233494,1.483,1.4952,-29.41832964372646
1773834300,1.4914,1.4916,1.4856,1.489,1.5138794506970858,1.514472056559475,1.5024561557263048,1.5072531989184503,1.5019145166116747,1.5019145166116747,1.4856,1.4894,1.5019145166116747,1.5019145166116747,1.4856,1.4894,-30.9038341444034
1773835200,1.4889,1.4901,1.4833,1.4872,1.5105663248077679,1.5110511841497227,1.498973218321522,1.5036389809332775,1.4956572583058374,1.4956572583058374,1.4833,1.4873750000000001,1.4956572583058374,1.4956572583058374,1.4833,1.4873750000000001,-32.73924867663624
1773836100,1.4872,1.4888,1.4782,1.4793,1.5071026528705227,1.5074993559684857,1.4951962695357908,1.4999546207635908,1.4915161291529189,1.4915161291529189,1.4782,1.483375,1.4915161291529189,1.4915161291529189,1.4782,1.483375,-32.33461506244802
1773837000,1.4793,1.4794,1.4564,1.4675,1.5035286368170566,1.5038532120790264,1.4881424023474652,1.4946265078974834,1.4874455645764595,1.4874455645764595,1.4564,1.4706500000000002,1.4874455645764595,1.4874455645764595,1.4564,1.4706500000000002,-34.562637221924135
1773837900,1.4675,1.4679,1.4596,1.4635,1.49907757235727,1.4993431339352452,1.4829528746479261,1.4891716882797592,1.4790477822882298,1.4790477822882298,1.4596,1.4646249999999998,1.4790477822882298,1.4790477822882298,1.4596,1.4646249999999998,-34.277065960847395
1773838800,1.4636,1.4678,1.4551,1.4647,1.4941246303185145,1.4943419079732214,1.4778887156210305,1.4843768358652576,1.4718363911441148,1.4718363911441148,1.4551,1.4627999999999999,1.4718363911441148,1.4718363911441148,1.4551,1.4627999999999999,-35.5337188019568
1773839700,1.4646,1.4679,1.4596,1.4659,1.4892507330918858,1.4895342883417266,1.474563494599025,1.4807628657079381,1.4673181955720573,1.4679,1.4596,1.4645000000000001,1.4673181955720573,1.4679,1.4596,1.4645000000000001,-34.13893036992453
1773840600,1.466,1.4732,1.4622,1.4684,1.4850067993999119,1.48656441773414,1.4723155864901112,1.4783423446701311,1.4659090977860287,1.4732,1.4622,1.46745,1.4659090977860287,1.4732,1.4622,1.46745,-32.06833805301407
1773841500,1.4684,1.4712,1.4624,1.4657,1.4816745720350213,1.4837708872370237,1.4705127525828183,1.4762664638210163,1.4666795488930142,1.4712,1.4624,1.466925,1.4666795488930142,1.4712,1.4624,1.466925,-32.308917916548836
1773842400,1.4657,1.4674,1.4576,1.4585,1.4789705179280188,1.4807943622848376,1.4681649793859424,1.4737271067626496,1.4668022744465072,1.4674,1.4576,1.4623,1.4668022744465072,1.4674,1.4576,1.4623,-35.1115915729715
1773843300,1.4585,1.461,1.45,1.4532,1.4763488123453343,1.4778410486372768,1.4648622558612256,1.470444905533077,1.4645511372232536,1.4645511372232536,1.45,1.455675,1.4645511372232536,1.4645511372232536,1.45,1.455675,-36.29820156901827
1773844200,1.4531,1.4558,1.4485,1.4496,1.4733968589392057,1.4746177795417041,1.4618873002500936,1.4670458317997903,1.4601130686116268,1.4601130686116268,1.4485,1.45175,1.4601130686116268,1.4601130686116268,1.4485,1.45175,-36.03320658187634
1773845100,1.4495,1.4533,1.4433,1.4451,1.4702213453694981,1.4712202804079058,1.458507791113713,1.4635465896543738,1.4559315343058135,1.4559315343058135,1.4433,1.4478,1.4559315343058135,1.4559315343058135,1.4433,1.4478,-36.22580326809495
1773846000,1.445,1.4518,1.4386,1.4413,1.466883967511936,1.467701277997906,1.4548881927294015,1.4600244824444877,1.4518657671529067,1.4518657671529067,1.4386,1.444175,1.4518657671529067,1.4518657671529067,1.4386,1.444175,-36.461762665497005
1773846900,1.4412,1.4473,1.4394,1.4453,1.4634542249782119,1.4641229335576418,1.452072157687692,1.4569836674545809,1.4480203835764534,1.4480203835764534,1.4394,1.4432999999999998,1.4480203835764534,1.4480203835764534,1.4394,1.4432999999999998,-35.347042602843864
1773847800,1.4453,1.449,1.4413,1.442,1.4602189462163964,1.461373309274434,1.450113583562657,1.4546957279173844,1.4456601917882266,1.449,1.4413,1.4444000000000001,1.4456601917882266,1.449,1.4413,1.4444000000000001,-35.15359173460896
1773848700,1.442,1.4437,1.4373,1.4399,1.4574573370668904,1.4584018159325576,1.4477838410967194,1.452155595568769,1.4450300958941134,1.4450300958941134,1.4373,1.440725,1.4450300958941134,1.4450300958941134,1.4373,1.440725,-36.29989808144315
1773849600,1.44,1.443,1.439,1.4392,1.4548064663178297,1.4556014857630017,1.446186779079134,1.4500000327380838,1.4428775479470568,1.443,1.439,1.4403000000000001,1.4428775479470568,1.443,1.439,1.4403000000000001,-38.96784923716215
