cond,side,rr,n,ndays,nsyms,wr,be,lift_pts,expR,ci_lo,ci_hi,p_neg,n_tr,wr_tr,e_tr,n_te,wr_te,e_te,hold_h
flip_to_neg,1,0.5,6290,1429,12,0.6530384982500795,0.6857565604962658,-3.271806224618623,-0.0638723677938672,-0.09212809426330157,-0.03257019224654196,1.0,3570,0.6703081232492997,-0.03633761603231693,2720,0.6303387334315169,-0.10001172948090194,15.061764705882354
flip_to_neg,1,0.75,5285,1400,12,0.5496212121212121,0.5898444920292619,-4.022327990804985,-0.08526093353472257,-0.12419948206736629,-0.03867938934138095,1.0,3008,0.5628324468085106,-0.06045607414186426,2277,0.5321302816901409,-0.11802905696630704,22.89318826868496
flip_to_neg,1,1.0,4660,1363,12,0.47346938775510206,0.5178419356852386,-4.437254793013656,-0.10364790635510168,-0.15442602619771698,-0.05106702376989729,1.0,2658,0.4853273137697517,-0.07829920941094956,2002,0.45768652979469204,-0.13730266983040454,30.280472103004293
flip_to_neg,1,2.0,3309,1199,12,0.3133514986376022,0.35010919815344194,-3.6757699515839737,-0.12463334603908738,-0.20447516034681276,-0.03132503029109837,0.99625,1895,0.3273495248152059,-0.0814557870003809,1414,0.2945351312987935,-0.1824986037324034,61.31950740404956
div_bear,-1,0.25,3872,953,12,0.7993285123966942,0.8217167824066575,-2.238827000996324,-0.043482816882192535,-0.06750897188870411,-0.022567562879698105,1.0,2798,0.7959256611865618,-0.04554209651956338,1074,0.8081936685288641,-0.038117952426546704,5.333548553719008
div_bear,-1,0.5,3213,926,12,0.6539060068471834,0.6868590871355386,-3.2953080288355197,-0.06525837130256504,-0.1049171798226664,-0.025754529554397797,0.99875,2302,0.6355343179843614,-0.09060722534788888,911,0.7003293084522503,-0.0012045161847434472,11.401960784313726
div_bear,-1,0.75,2976,902,12,0.5623529411764706,0.5906982206124772,-2.834527943600662,-0.06583714581070338,-0.1127815695949065,-0.017379234717665015,0.9975,2121,0.5426685525695427,-0.09793400992052906,855,0.6112412177985949,0.013785601296829089,17.25201612903226
div_bear,-1,1.0,2858,892,12,0.4903745187259363,0.5186026669786736,-2.822814825273734,-0.07301686294944791,-0.13419692161118216,0.00010587512470877538,0.97375,2040,0.47058823529411764,-0.1099006862340328,818,0.5397796817625459,0.01896724401944352,23.506385584324704
div_bear,-1,2.0,2608,851,12,0.3275795934023782,0.350811960285613,-2.3232366883234823,-0.08680662722334365,-0.17070223689452663,0.006554276545832785,0.96125,1859,0.30500268961807425,-0.15130918047040956,749,0.3836898395721925,0.07328715980775856,51.08445168711656
div_bull,1,0.25,4376,906,12,0.7858775137111518,0.8203542901716157,-3.4476776460463876,-0.05795310050275866,-0.08683876462942762,-0.028939308749082404,1.0,3010,0.7867109634551495,-0.056766881988335266,1366,0.7840409956076134,-0.06056694949866963,5.479547531992687
div_bull,1,0.5,3634,871,12,0.6208700440528634,0.6862019533292719,-6.533190927640852,-0.11331331238910972,-0.15480556376553178,-0.07243159450134375,1.0,2467,0.6189704094041346,-0.11636071154233582,1167,0.6248927038626609,-0.10687120980898225,12.933957072096863
div_bull,1,0.75,3350,844,12,0.5128511655708309,0.5902802509729311,-7.742908540210025,-0.15104317343930831,-0.2090310394073396,-0.09828702462260952,1.0,2286,0.5096237970253719,-0.15694116453135468,1064,0.519811320754717,-0.13837136175094544,19.98410447761194
div_bull,1,1.0,3182,824,12,0.4329345088161209,0.5184150847126763,-8.548057589655539,-0.1865100660436495,-0.25668422444380457,-0.11952719764571662,1.0,2176,0.4319852941176471,-0.18874969315465462,1006,0.435,-0.18166570362461654,27.55271841609051
div_bull,1,2.0,2851,782,12,0.2841068917018284,0.34994687536812386,-6.583998366629546,-0.2134512110260826,-0.30108651460561736,-0.11888822187278085,1.0,1967,0.28825622775800713,-0.20051964563742095,884,0.2748004561003421,-0.2422254068626182,52.94966678358471
