base,filt,rr,sym,n_all,n_f,e_all,e_f,e_n,delta
S_bb_break_dn,h2_oi_top_p90,2.0,ETHUSDT,298,64,0.07602903628164456,0.350144070877733,0.026045904347006526,0.27411503459608844
S_bb_break_dn,h2_oi_top_p90,2.0,SOLUSDT,275,68,0.13712712186347853,0.5358760327341201,0.031709184654623655,0.39874891087064157
S_volspike18_dn,h4b_glob_top_p30,0.25,BTCUSDT,483,192,0.03323138262084682,0.06218782043158053,0.014126104065311175,0.02895643781073371
S_volspike18_dn,h4b_glob_top_p30,0.25,ETHUSDT,445,170,0.0379470104315476,0.09243720090299018,0.00426216541283764,0.05449019047144258
S_volspike18_dn,h4b_glob_top_p30,0.25,SOLUSDT,369,99,0.027327612004754767,-0.02893447183279274,0.04795704274518886,-0.05626208383754751
S_volspike18_dn,h4b_glob_top_p30,0.5,BTCUSDT,470,188,0.03297424899272426,0.14817501870470157,-0.04402551720089059,0.1152007697119773
S_volspike18_dn,h4b_glob_top_p30,0.5,ETHUSDT,435,164,0.05761171664438276,0.11753053083406298,0.02135088444103383,0.05991881418968022
S_volspike18_dn,h4b_glob_top_p30,0.5,SOLUSDT,362,97,0.03757912500940461,-0.006236744146111929,0.053617386549348396,-0.04381586915551654
S_volspike18_dn,h4b_glob_top_p30,0.75,BTCUSDT,425,173,0.03687755657888269,0.13020546116199389,-0.019686203105431593,0.09332790458311119
S_volspike18_dn,h4b_glob_top_p30,0.75,ETHUSDT,407,151,0.0752925261726314,0.1231610227618201,0.045223950096770216,0.04786849658918871
S_volspike18_dn,h4b_glob_top_p30,0.75,SOLUSDT,327,92,0.08061244766130964,0.07848962950619864,0.07506076992334651,-0.002122818155110992
S_volspike18_dn,h4b_glob_top_p30,1.0,BTCUSDT,380,152,0.0783364801053306,0.2050682942337337,-0.0005466102149613701,0.12673181412840312
S_volspike18_dn,h4b_glob_top_p30,1.0,ETHUSDT,373,141,0.10655052526394111,0.14019254321291175,0.07762447636927182,0.033642017948970634
S_volspike18_dn,h4b_glob_top_p30,1.0,SOLUSDT,301,87,0.12130897593676647,0.1255553499599963,0.10865625056675797,0.004246374023229818
S_volspike18_dn,h4b_glob_top_p30,2.0,BTCUSDT,267,116,0.0791237715448601,0.24115926212457695,-0.0799918581848379,0.16203549057971683
S_volspike18_dn,h4b_glob_top_p30,2.0,ETHUSDT,269,111,0.17702401010835875,0.1807866974331592,0.16039813031944772,0.003762687324800451
S_volspike18_dn,h4b_glob_top_p30,2.0,SOLUSDT,208,69,0.1695225619989678,0.1976234025672774,0.06040450401842055,0.028100840568309582
S_volspike18_dn,h4b_glob_top_p90,0.25,BTCUSDT,483,170,0.03323138262084682,0.047141369048953996,0.02567643791548511,0.013909986428107174
S_volspike18_dn,h4b_glob_top_p90,0.25,ETHUSDT,445,148,0.0379470104315476,0.09111007823646386,0.011454976643239162,0.05316306780491626
S_volspike18_dn,h4b_glob_top_p90,0.25,SOLUSDT,369,89,0.027327612004754767,0.016889351137599182,0.030645487780386362,-0.010438260867155585
S_volspike18_dn,h4b_glob_top_p90,0.5,BTCUSDT,470,164,0.03297424899272426,0.07950059615173957,0.009560172500810902,0.04652634715901531
S_volspike18_dn,h4b_glob_top_p90,0.5,ETHUSDT,435,144,0.05761171664438276,0.1323988027368394,0.02519687072124737,0.07478708609245664
S_volspike18_dn,h4b_glob_top_p90,0.5,SOLUSDT,362,89,0.03757912500940461,0.021846333400452785,0.0427081303324695,-0.015732791608951822
S_volspike18_dn,h4b_glob_top_p90,0.75,BTCUSDT,425,149,0.03687755657888269,0.03218774824636892,0.04204672517159753,-0.00468980833251377
S_volspike18_dn,h4b_glob_top_p90,0.75,ETHUSDT,407,131,0.0752925261726314,0.15398988265022626,0.03260230537354987,0.07869735647759486
