sym,base,cond,rr,n,ndays,wr,be,lift,expR,e_tr,e_te
BTCUSDT,standalone,h2_oi_top_p30,0.5,886,533,0.6734463276836158,0.6947485666329163,-0.0213022389493005,-0.03914159148897077,-0.0360448979763271,-0.04802599165406633
BTCUSDT,standalone,h2_oi_top_p30,0.75,698,481,0.5839311334289814,0.5982171280854784,-0.014285994656497047,-0.03252313600559337,-0.03387356746220446,-0.028517879071780914
BTCUSDT,standalone,h2_oi_top_p30,1.0,602,442,0.5158069883527454,0.5257364006322048,-0.009929412279459426,-0.027758019620726746,-0.0321426435874636,-0.015222492126081696
BTCUSDT,standalone,h2_oi_top_p30,2.0,399,338,0.3391959798994975,0.3566311381319838,-0.017435158232486314,-0.05979473406408433,-0.08496073823239907,0.014457436650349318
BTCUSDT,standalone,h2_oi_top_p90,0.25,1367,557,0.8250366032210834,0.8292579199543372,-0.004221316733253766,-0.011985819760955332,-0.016786467241213476,0.0031602959974275113
BTCUSDT,standalone,h2_oi_top_p90,0.5,864,493,0.6917728852838934,0.6944789988419814,-0.0027061135580880302,-0.01117532750464429,-0.017881022044348795,0.009319541722339921
BTCUSDT,standalone,h2_oi_top_p90,0.75,678,457,0.6085672082717873,0.5980122088407482,0.010554999431039103,0.010921343377263578,-0.0015147954198831684,0.05085602510474725
BTCUSDT,standalone,h2_oi_top_p90,1.0,559,410,0.5394265232974911,0.5255280353674231,0.013898487930067982,0.019198317196691548,0.011506566355396458,0.04312192459277847
BTCUSDT,standalone,h2_oi_top_p90,2.0,357,297,0.3707865168539326,0.3556023473750222,0.015184169478910381,0.03571734880164229,0.01511087142883466,0.10706727670498858
BTCUSDT,standalone,h4_ttsum_top_p30,0.25,827,362,0.8234582829504232,0.8315357624140354,-0.008077479463612147,-0.017911688416408895,-0.024331490236127327,-0.004740434498462596
BTCUSDT,standalone,h4_ttsum_top_p30,0.5,560,329,0.6982142857142857,0.695762006876579,0.0024522788377067117,-0.004939798187046532,-0.03543730307090191,0.05997388539255626
BTCUSDT,standalone,h4_ttsum_top_p30,0.75,423,287,0.5886524822695035,0.6002237459456703,-0.011571263676166788,-0.02929454657604101,-0.05125742777124506,0.017559599973727663
BTCUSDT,standalone,h4_ttsum_top_p30,1.0,351,261,0.50997150997151,0.5270202954538827,-0.017048785482372764,-0.043665708778903446,-0.08657653765522243,0.04790293498395578
BTCUSDT,standalone,h4_ttsum_top_p30,2.0,239,202,0.3389121338912134,0.35713492695038834,-0.018222793059174958,-0.06466583856732866,-0.18741740629201564,0.21446786338195958
BTCUSDT,standalone,h4_ttsum_top_p90,0.25,850,349,0.8115429917550059,0.8316369072681242,-0.020093915513118343,-0.03137673326390231,-0.04967403186077991,0.004516573739728674
BTCUSDT,standalone,h4_ttsum_top_p90,0.5,565,311,0.6897163120567376,0.6957888782529893,-0.0060725661962517385,-0.015996337645210742,-0.05985379536822793,0.0748172025312542
BTCUSDT,standalone,h4_ttsum_top_p90,0.75,404,268,0.5707196029776674,0.6003399855430356,-0.029620382565368142,-0.05898867808494582,-0.1180033265343166,0.06539604249295873
BTCUSDT,standalone,h4_ttsum_top_p90,1.0,339,246,0.5,0.5272627336817021,-0.027262733681702067,-0.06263933784739692,-0.12408278128163834,0.06701196481201167
BTCUSDT,standalone,h4_ttsum_top_p90,2.0,204,170,0.3054187192118227,0.3589034576469559,-0.05348473843513324,-0.16768581345442807,-0.31766728155280793,0.18391008716964258
BTCUSDT,standalone,h4b_glob_top_p30,0.25,1084,498,0.8384118190212373,0.8306887957040006,0.007723023317236732,0.0029001062633904635,-0.008480133422371338,0.03157239845868641
BTCUSDT,standalone,h4b_glob_top_p30,0.5,747,453,0.7238605898123325,0.6941693561359218,0.02969123367641069,0.03676966857349952,0.02546088424028552,0.06549719654791993
BTCUSDT,standalone,h4b_glob_top_p30,0.75,561,401,0.6321428571428571,0.5974390861801394,0.034703770962717706,0.052443871051286596,0.050977377819631915,0.05625111309500548
BTCUSDT,standalone,h4b_glob_top_p30,1.0,452,349,0.5764966740576497,0.5250242028242567,0.05147247123339305,0.09413936995084178,0.10811456401913644,0.05914721736123568
