name,cap,n,tpm,expR,Rmo,risk,cagr,maxdd,cdd,worst_day,streak,cap_block,sym_block,offered
vs0.5,4,2829,45.54456198347108,0.02398200800040089,1.0922500498623577,0.0025,0.03249317792442841,-0.08167408205181427,0.3978395239730352,-0.014767347701337388,11,0.3675385647216633,0.0,4473
vs0.5,8,4041,65.05676033057851,0.029660404607064164,1.92960983382976,0.00125,0.029078101951229174,-0.06581773105910557,0.4417973923336325,-0.011397388636980126,16,0.096579476861167,0.0,4473
vs1.0,2,1357,21.861152614139453,0.041744546169766784,0.9125838946252622,0.005,0.05284104177199711,-0.12025726534867298,0.4393999948260108,-0.021115792421702095,11,0.650887573964497,0.0,3887
vs1.0,4,2248,36.21508553911974,0.04717587814812621,1.7084784625174805,0.0025,0.05117263688774787,-0.10149202110475644,0.5042035455666933,-0.015989953494420204,18,0.42166195009004376,0.0,3887
vs1.0,8,3425,55.17645372397025,0.06332347495588916,3.4939647855446077,0.00125,0.05326719373371147,-0.0831594361590889,0.6405429881920819,-0.013320827539067078,29,0.11885773089786468,0.0,3887
vs2.0,2,807,13.02921837530804,0.13553985854142125,1.7659784154945384,0.005,0.10708800266399598,-0.14071481386773002,0.7610286345875227,-0.016902757147590534,15,0.7078204199855177,0.0,2762
vs2.0,4,1430,23.087710380037795,0.08919605477344447,2.0593326796512734,0.0025,0.061776145082305334,-0.12223467270349443,0.5053897042139278,-0.013439995428237324,23,0.4822592324402607,0.0,2762
vs2.0,8,2326,37.553856184592945,0.11332632827931725,4.255840634129449,0.00125,0.06511486308149061,-0.09970037526826614,0.6531054964064531,-0.012142246910351038,34,0.15785662563359884,0.0,2762
Lvs2.0,2,1094,17.659978343977194,0.041687332179549584,0.7361973835090293,0.005,0.039445388625515276,-0.18842106684065565,0.20934701881755896,-0.03707254301994077,16,0.5383966244725739,0.0,2370
Lvs2.0,4,1678,27.08724283472919,0.017831251574575185,0.48299944144766527,0.0025,0.0124776661454844,-0.13312532268425348,0.09372872038086186,-0.01837030849149763,25,0.2919831223628692,0.0,2370
Lvs2.0,8,2235,36.07865776854573,0.04906862593435886,1.770330162258521,0.00125,0.026186255504710543,-0.10378402613359793,0.2523148935367163,-0.010611914603853266,26,0.056962025316455694,0.0,2370
bb0.5+vs0.5,2,2919,46.99348760330579,0.028927235781375276,1.3593916960899628,0.005,0.08145810371020468,-0.11875413980775827,0.685939065720747,-0.018933196580751373,9,0.7283084214363835,0.005650747356908494,10972
bb0.5+vs0.5,4,4835,77.83950413223141,0.021904587975282178,1.7050422662168037,0.0025,0.051052743658340116,-0.09868849813910899,0.5173119929981848,-0.014809127638567784,12,0.5385526795479402,0.020780167699598978,10972
bb0.5+vs0.5,8,7333,118.0552396694215,0.024186626041677477,2.855357934144906,0.00125,0.043224358687612874,-0.08134055971157238,0.5313998187482759,-0.012744015809797173,16,0.2483594604447685,0.08330295297119941,10972
bb1.0+vs1.0,2,1796,28.933404638905277,0.04485888981209521,1.297920410585416,0.005,0.07633492607223435,-0.14251814305673935,0.5356154973324616,-0.025950336230208225,12,0.7868909512761021,0.004756380510440836,8620
