cond,side,rr,n,ndays,nsyms,wr,be,lift_pts,expR,ci_lo,ci_hi,p_neg,n_tr,wr_tr,e_tr,n_te,wr_te,e_te,hold_h,top3_frac
h1_build_short_72h,-1,0.25,2689,907,2,0.8154075176777075,0.8276746696797541,-1.2267152002046644,-0.022411617358599614,-0.047311264759064574,0.0010523941340614311,0.97125,1879,0.8062799361362427,-0.0334347063185895,810,0.8366336633663366,0.003159227278216438,7.259390107846783,0.01338787653402752
h1_build_short_72h,-1,0.5,1883,838,2,0.684742158426369,0.6923248818476884,-0.7582723421319382,-0.018985588067332502,-0.059171748019066134,0.018895253716510765,0.82125,1301,0.6725595695618755,-0.0370407708860645,582,0.7120689655172414,0.021374880742238513,13.126925119490176,0.015400955921402018
h1_build_short_72h,-1,0.75,1481,788,2,0.5983772819472617,0.5954677190339718,0.29095629132899203,-0.00301577729797733,-0.06028030300263467,0.04642021263777154,0.57875,1025,0.5912195121951219,-0.015028868686115361,456,0.6145374449339207,0.023987333826675044,18.793889264010804,0.01688048615800135
h1_build_short_72h,-1,1.0,1216,734,2,0.5271828665568369,0.5233359911750756,0.38468753817613166,-0.0006800256185500935,-0.06714394183722608,0.07046727693332173,0.52,831,0.5174488567990373,-0.019738333531362014,385,0.5483028720626631,0.0404562182140388,24.796463815789473,0.015625
h1_build_short_72h,-1,2.0,765,568,2,0.3564875491480996,0.35395625849949375,0.2531290648605855,-0.0020727733072970684,-0.1257862009831778,0.1234104500497073,0.4975,522,0.3371647509578544,-0.0590583750200189,243,0.3983402489626556,0.12034074148299434,47.25686274509804,0.01568627450980392
h1_cover_rally_72h,1,0.25,2452,960,2,0.8062805872756933,0.8300145874020698,-2.3734000126376498,-0.03589970598071445,-0.059433349911989536,-0.013056174829234475,1.0,1661,0.8163756773028297,-0.021823932796595447,791,0.7850821744627055,-0.06545705017644347,7.2780383360522025,0.013458401305057096
h1_cover_rally_72h,1,0.5,1670,869,2,0.6712574850299401,0.6956448495003067,-2.43873644703666,-0.043102641622343875,-0.08237255109267598,-0.00677464980481813,0.99,1121,0.6824264049955397,-0.02502070490924892,549,0.6484517304189436,-0.08002404609480186,14.461526946107785,0.01437125748502994
h1_cover_rally_72h,1,0.75,1328,801,2,0.5730421686746988,0.5988895160339105,-2.584734735921168,-0.05202622466160504,-0.10495374237011333,0.0026856137226446584,0.96375,894,0.587248322147651,-0.02602267101960568,434,0.543778801843318,-0.10559114852323505,21.25715361445783,0.01581325301204819
h1_cover_rally_72h,1,1.0,1099,730,2,0.5068243858052776,0.5266988789828931,-1.9874493177615582,-0.04672048086349889,-0.1191487348517846,0.021613527207276332,0.905,749,0.520694259012016,-0.01762502014134134,350,0.47714285714285715,-0.10898476680891607,28.356687898089174,0.015468607825295723
h1_cover_rally_72h,1,2.0,728,545,2,0.35714285714285715,0.35815355190998166,-0.10106947671245092,-0.009231536639446137,-0.1433187516057383,0.12154110906941915,0.5475,485,0.36907216494845363,0.026667566084889877,243,0.3333333333333333,-0.08088200915509629,55.90315934065934,0.019230769230769232
h1_unwind_dn_72h,-1,0.25,2765,980,2,0.8119349005424955,0.8272048358516624,-1.526993530916687,-0.025971465719767505,-0.04759353061454667,-0.005831519950685153,0.99375,1839,0.8129418162044589,-0.023058543258510315,926,0.8099352051835853,-0.03175641648245861,8.079746835443038,0.012658227848101266
h1_unwind_dn_72h,-1,0.5,1848,871,2,0.6672077922077922,0.692411320369328,-2.5203528161535704,-0.045473135201074655,-0.08189339324293031,-0.011450049645152493,0.99625,1241,0.6720386784850927,-0.03633923772686772,607,0.657331136738056,-0.06414721553960974,15.64069264069264,0.016774891774891776
h1_unwind_dn_72h,-1,0.75,1453,803,2,0.5684790089470062,0.5963585124177395,-2.7879503470733313,-0.05689327603341047,-0.10846805680858648,-0.0063388073253853585,0.9875,964,0.5757261410788381,-0.04240207962653778,489,0.5541922290388548,-0.08546078796843146,22.432381280110118,0.017894012388162423
h1_unwind_dn_72h,-1,1.0,1213,745,2,0.49958779884583676,0.5241741565458901,-2.45863577000533,-0.0576645296683097,-0.130620615739373,0.003900456774243359,0.96,812,0.5024630541871922,-0.049887299138467574,401,0.4937655860349127,-0.07341293662649373,29.06657048639736,0.01731244847485573
h1_unwind_dn_72h,-1,2.0,754,554,2,0.3235685752330226,0.35654217177110686,-3.2973596538084236,-0.10258806285310668,-0.21999495495056487,0.007594343932196098,0.96375,498,0.32056451612903225,-0.10996764572092657,256,0.32941176470588235,-0.08823246805555068,60.46783819628647,0.01989389920424403
h2_oi_top_pct30d,-1,0.25,2433,833,2,0.8100328947368421,0.828039123678189,-1.8006228941346847,-0.02863426127372216,-0.05497768623862337,-0.004973617557605221,0.99375,1672,0.8032296650717703,-0.035885510453478715,761,0.825,-0.012702475953678872,6.012844225236334,0.013563501849568433
h2_oi_top_pct30d,-1,0.5,1592,753,2,0.6781898177247014,0.6928206320980949,-1.463081437339342,-0.028561782850105355,-0.07619636063981051,0.014601768241693324,0.9,1104,0.6702898550724637,-0.03907542627670383,488,0.6960985626283368,-0.004776819032554704,11.924309045226131,0.015703517587939697
