rule,rr,n,wr,be,expR,ci_lo,ci_hi,R_per_month,tpm,n_tr,e_tr,wr_tr,n_te,e_te,wr_te,hold_h,nights,costR,stop_frac,slip_headroom_bps,lose_streak,years,atr_mult
L_bb_break_up,0.25,727,0.8376891334250344,0.8512667812319966,-0.026307444671954575,-0.06308857629315083,0.009971072832286324,-0.31657454795921375,12.033648722131593,519,0.004870171185303218,0.8574181117533719,208,-0.10410159193116988,0.7884615384615384,3.252521779000458,0.08940852819807428,0.07341886145324755,0.014741776119300104,0.0,3,2021:+0.035(74)  2022:-0.027(122)  2023:+0.013(163)  2024:+0.007(160)  2025:-0.115(142)  2026:-0.080(66),1.0
L_bb_break_up,0.33,700,0.79,0.8008528674385308,-0.02394914416799666,-0.06487261308917332,0.016805017682296215,-0.2774923131765486,11.58673191952148,502,0.0102379285719617,0.8107569721115537,198,-0.11062545990263856,0.7373737373737373,4.211904761904761,0.12428571428571429,0.07464914416799666,0.014771674138981897,0.0,3,2021:-0.013(72)  2022:-0.008(116)  2023:+0.022(161)  2024:+0.022(153)  2025:-0.125(133)  2026:-0.082(65),1.0
L_bb_break_up,0.5,646,0.7260061919504643,0.7116236051583805,0.011939266070929903,-0.04134371779563334,0.06110641552255518,0.12766535804384047,10.692898314301251,465,0.05543282761534263,0.7505376344086021,181,-0.09979833679178787,0.6629834254143646,6.046826625386997,0.18421052631578946,0.07707002185476669,0.014711933929705531,0.8,4,2021:-0.003(66)  2022:+0.041(103)  2023:+0.071(153)  2024:+0.076(143)  2025:-0.106(124)  2026:-0.086(57),1.0
L_bb_break_up,0.75,561,0.6417112299465241,0.6120117532310234,0.042788618574894334,-0.02831840871201945,0.11284631383823654,0.3973324596109291,9.285938009787928,400,0.09066542818294415,0.665,161,-0.07615997672460838,0.5838509316770186,8.414141414141413,0.2620320855614973,0.08020603383152278,0.014517147209254701,2.8000000000000003,5,2021:-0.043(52)  2022:+0.050(86)  2023:+0.153(137)  2024:+0.106(125)  2025:-0.123(109)  2026:+0.021(52),1.0
L_bb_break_up,1.0,496,0.5685483870967742,0.5367408756032033,0.053768130708834946,-0.03469916606472401,0.14428490465382982,0.44143781500454604,8.210027188689505,356,0.12668795328273474,0.601123595505618,140,-0.13165656097908165,0.4857142857142857,10.96051747311828,0.3487903225806452,0.08332864348471343,0.014621251448844774,3.6,5,2021:-0.034(49)  2022:+0.093(79)  2023:+0.207(122)  2024:+0.134(106)  2025:-0.126(98)  2026:-0.145(42),1.0
L_bb_break_up,1.5,419,0.4630071599045346,0.4322436373827485,0.06693580450063516,-0.0556747223138068,0.1867510443317439,0.46423238036472053,6.935486677542142,295,0.15570960337722542,0.49491525423728816,124,-0.14425992669770457,0.3870967741935484,15.539578361177405,0.5513126491646778,0.09058209526070136,0.014584661285284862,4.4,8,2021:-0.059(40)  2022:+0.033(63)  2023:+0.317(101)  2024:+0.156(91)  2025:-0.194(84)  2026:-0.039(40),1.0
L_bb_break_up,2.0,375,0.4,0.36318014455059666,0.10019770436452231,-0.050177551789161313,0.2487109846717159,0.6219449675481361,6.207177814029364,265,0.21159171692629017,0.4339622641509434,110,-0.16816059862519106,0.3181818181818182,20.880666666666666,0.784,0.09980229563547766,0.014429235456066742,6.4,11,2021:+0.018(36)  2022:-0.000(58)  2023:+0.429(90)  2024:+0.208(81)  2025:-0.189(77)  2026:-0.119(33),1.0
L_volspike18_up,0.25,374,0.8235294117647058,0.853112524254367,-0.046783923008112765,-0.10585362306154397,0.007280574845034899,-0.29669355409223297,6.341784421130814,273,-0.024496897796212353,0.8351648351648352,101,-0.10702509016503167,0.7920792079207921,2.80548128342246,0.0962566844919786,0.07619568771399511,0.014281051116383857,0.0,3,2021:-0.077(22)  2022:+0.040(33)  2023:-0.067(117)  2024:+0.015(101)  2025:-0.172(67)  2026:+0.021(34),1.0
L_volspike18_up,0.33,374,0.7754010695187166,0.8028532759365266,-0.04633886066859571,-0.10814583131215469,0.01748583216647284,-0.2938710646810517,6.341784421130814,273,-0.017208142565471544,0.7912087912087912,101,-0.1250783264324857,0.7326732673267327,3.7261586452762927,0.13636363636363635,0.07762228312848876,0.014281051116383857,0.0,4,2021:-0.076(22)  2022:-0.012(33)  2023:-0.048(117)  2024:+0.030(101)  2025:-0.194(67)  2026:+0.011(34),1.0
L_volspike18_up,0.5,373,0.710455764075067,0.7125935716586919,-0.013038095111779311,-0.08827294865043554,0.061657716271191286,-0.08246370613901534,6.3248277782935665,273,0.01768276224181916,0.7252747252747253,100,-0.09690603568710308,0.67,5.004244861483468,0.16890080428954424,0.07872174122437983,0.014290104421590713,0.0,4,2021:-0.089(22)  2022:+0.120(33)  2023:-0.032(117)  2024:+0.064(101)  2025:-0.147(67)  2026:+0.006(33),1.0
L_volspike18_up,0.75,373,0.6327077747989276,0.6124025749018488,0.02579500162885542,-0.07360919022567255,0.12553664586886254,0.16314894284331255,6.3248277782935665,273,0.07444488500903117,0.6556776556776557,100,-0.10701917999902441,0.57,7.051831992850759,0.24932975871313673,0.08144360426926793,0.014290104421590713,1.8,5,2021:-0.013(22)  2022:+0.260(33)  2023:+0.022(117)  2024:+0.093(101)  2025:-0.172(67)  2026:+0.024(33),1.0
L_volspike18_up,1.0,361,0.5706371191135734,0.5371654774871344,0.05693287581215489,-0.05184423844380453,0.16808512037966036,0.3485383081000781,6.12191643454039,267,0.13804787500314994,0.6067415730337079,94,-0.17346823891120336,0.46808510638297873,9.295013850415513,0.3296398891966759,0.08434136241499192,0.014325390343322633,3.8000000000000003,6,2021:+0.040(22)  2022:+0.308(32)  2023:+0.085(116)  2024:+0.167(97)  2025:-0.222(65)  2026:-0.066(29),1.0
