rr,name,side,n,wr,be,expR,n_tr,wr_tr,e_tr,n_te,wr_te,e_te,se,hold,nights,costR,tf
0.33,trend+hammer,1,448,0.7745535714285714,0.7899234205697135,-0.02963967996182663,345,0.8,0.01648644705331105,103,0.6893203883495146,-0.1841398141387442,0.019742784419692353,14.095238095238097,0.5022321428571429,0.059795929961826644,4H
0.33,trend+bull_engulf,1,526,0.7661596958174905,0.7907838454081093,-0.041730252910382175,380,0.781578947368421,-0.009157884706821903,146,0.726027397260274,-0.12650764960458014,0.018455527489329406,13.727978453738908,0.4714828897338403,0.060722648347644556,4H
0.33,trend+marubozu,1,122,0.7868852459016393,0.7882549085929903,-0.011112952258540542,82,0.8048780487804879,0.026678172396946784,40,0.75,-0.08858475780228954,0.03707511821764157,10.09016393442623,0.36065573770491804,0.05767032930772087,4H
0.33,trend+lowvol,1,2354,0.7595581988105352,0.7996816696965047,-0.06244708246791478,1504,0.7779255319148937,-0.021208723459587176,850,0.7270588235294118,-0.13541472005441443,0.008808100982535037,14.840201076182382,0.5063721325403568,0.07265948688592669,4H
0.33,trend+hivol,1,1403,0.7997148966500356,0.7808950288276395,0.022463251102784396,1275,0.803921568627451,0.028768511154220116,128,0.7578125,-0.04034305019081357,0.010684718430084686,11.106260394392967,0.3563791874554526,0.04115756144176302,4H
0.33,trend+near_ema200,1,667,0.7691154422788605,0.7879953854463053,-0.032677460029218064,430,0.772093023255814,-0.023189197199241285,237,0.7637130801687764,-0.04989245166166535,0.016316623486174617,10.64505247376312,0.31634182908545727,0.05560099826010262,4H
0.33,trend+far_ema200,1,2629,0.7782426778242678,0.7876827417431289,-0.016424249146297826,2042,0.7850146914789422,-0.003492881773423078,587,0.7546848381601363,-0.061408665118035916,0.008102167417713363,10.062824901737034,0.3164701407379232,0.051487010652574,4H
0.33,rsi>70,1,804,0.8208955223880597,0.7853830983893677,0.04250278914449991,640,0.83125,0.060347545350928886,164,0.7804878048780488,-0.027135283856198525,0.013522878334396247,8.841003316749585,0.2810945273631841,0.04928825563161951,4H
0.33,rsi<30,1,570,0.7140350877192982,0.7770537591254159,-0.09277440636383813,386,0.7253886010362695,-0.07176641230344155,184,0.6902173913043478,-0.13684552433836575,0.018926866693958187,9.899561403508772,0.3017543859649123,0.04244107303050481,4H
0.33,bb_break_up,1,775,0.7948387096774193,0.7875343988323608,0.0024125809566372253,553,0.8155515370705244,0.036752625754363916,222,0.7432432432432432,-0.08312816126472702,0.014505622281555764,8.979462365591399,0.28774193548387095,0.054722902914330525,4H
0.33,div_bull,1,131,0.7099236641221374,0.7825805449067282,-0.10586505279656083,85,0.7411764705882353,-0.06055401175465867,46,0.6521739130434783,-0.18959197646094528,0.03964846052107338,12.340330788804073,0.37404580152671757,0.050063526079003606,4H
0.33,d1_trend,1,6228,0.7612395632626846,0.7893130369099524,-0.045573482702799865,4625,0.7682162162162162,-0.02777570749374229,1603,0.7411104179663132,-0.09692389464409204,0.005402161408023945,12.608220937700706,0.4234104046242775,0.05802210184217048,4H
0.33,all,-1,11128,0.7567883474195288,0.7855327810729614,-0.04727789632970459,7907,0.755406601745289,-0.04272059264396059,3221,0.7601866251944013,-0.05846529162407833,0.004068065737054293,12.503309968847352,0.41022645578720346,0.053690659534629134,4H
