feature,side,bin,lo,hi,n,exp_r,lift,wr,n_test,exp_r_test
absorb,long,6,0.02231470090560533,0.048939406266294956,3504,-0.09914519723739955,0.06839306028014693,0.3530251141552511,970,-0.2218481301873548
kyle,long,8,4.674219180494275e-07,5.851425651404679e-07,3505,-0.09926214746605272,0.06827611005149375,0.33666191155492153,452,-0.03583220927522835
efficiency,long,7,0.1527100517192674,0.1872816679010705,3504,-0.09966503152311976,0.06787322599442672,0.3584474885844749,1331,-0.19884024119588745
to_hi480,long,0,-inf,2.2203358152072457,3458,-0.09967318011881073,0.06786507739873575,0.3490456911509543,1054,-0.15592083612211113
atr_rank,short,9,0.9125,inf,3521,-0.09981793402472705,0.08504050895577697,0.3297358704913377,1564,-0.023470648915103247
kyle_z,long,9,1.3104777011053335,inf,3487,-0.10129392873661067,0.06624432878093581,0.34815027244049324,1425,-0.18098941253743472
range_z,short,7,0.15575208107570482,0.5275572332998651,3486,-0.10165202175449072,0.08320642122601331,0.3488238668961561,1327,-0.17139338020645978
body_frac,long,9,0.6527866752081687,inf,3506,-0.10209527645773415,0.06544298105981232,0.3573873359954364,1534,-0.24849693570367196
vol_per_trade_z,long,5,-0.06017283232426621,0.21811166159462791,3487,-0.10223393901735645,0.06530431850019003,0.356753656438199,1301,-0.28367703696158447
pos96,short,4,0.4354589347887745,0.5315814332946884,3495,-0.10271413778616353,0.08214430519434049,0.3579399141630901,1221,-0.35717616626126075
persist96,long,8,0.18866188799291925,0.24158803569182166,3496,-0.10302720547453159,0.06451105204301488,0.35068649885583525,1099,-0.22209864214863295
to_lo96,long,8,9.337324690145687,11.42223944595839,3496,-0.10303638237172429,0.06450187514582219,0.35755148741418763,941,-0.23305846252649376
since_hi96,long,3,25.0,37.0,3311,-0.10320983139905324,0.06432842611849324,0.3563877982482634,1235,-0.2625225117431144
pos96,short,0,-inf,0.15525152410155071,3496,-0.10395020405432955,0.08090823892617448,0.3441075514874142,1516,-0.2173553100186904
disp24,long,2,-2.240210388224421,-1.3414125148179443,3503,-0.10439466955856339,0.06314358795898309,0.3559805880673708,1242,-0.17076176318058717
to_lo24,short,3,1.5875579079812236,1.944555986043482,3503,-0.10604504252020958,0.07881340046029445,0.3579788752497859,1139,-0.24599470171544793
to_hi96,long,1,1.2628983629486399,2.0540473050763164,3496,-0.1082464588307417,0.05929179868680477,0.3492562929061785,1205,-0.23144278540717875
flow_eff,long,8,0.25910686036875036,0.4775208277386536,3505,-0.10843117722454608,0.059107080293000394,0.3378031383737518,671,-0.3068851722473004
vol_of_vol,short,7,0.18140923836560627,0.6218336782608651,3455,-0.1092260109030671,0.07563243207743692,0.34934876989869756,1322,-0.10001891813267577
to_hi96,short,8,7.94786074620019,10.23138650133196,3496,-0.1097243023352607,0.07513414064524332,0.35297482837528604,1687,-0.20546364372140546
gap,short,2,-0.0001400166619741217,0.0,2111,-0.10975028068621193,0.0751081622942921,0.3292278540975841,718,-0.08186208235607799
atr_pct,long,9,0.015125124391696804,inf,3506,-0.10977283940281342,0.057765418114733055,0.3185966913861951,258,0.222393796229766
updn_ratio,long,9,0.576271186440678,inf,3587,-0.11009792147982678,0.0574403360377197,0.35768051296347925,1538,-0.23550851339039855
disp24,long,3,-1.3414125148179443,-0.5934711799238541,3502,-0.11024817517063641,0.05729008234691006,0.3580810965162764,1190,-0.2205928569716002
to_lo96,short,5,5.3512628736507395,6.466596891528056,3496,-0.11046527007729667,0.07439317290320735,0.35583524027459956,1275,-0.15530896960961316
pos96,long,9,0.8846720180363059,inf,3496,-0.11062250399149239,0.05691575352605409,0.34839816933638446,1396,-0.22627257458971622
avg_trade_usd,long,6,4047.6022370269357,4341.964034124539,3505,-0.11063620120679206,0.056902056310754415,0.34407988587731814,929,-0.3201814755290841
vol_of_vol,long,2,-0.7845097013382104,-0.6296451238961992,3455,-0.11084933803243219,0.056688919485114286,0.3557163531114327,1056,-0.12709118233289546
