label,risk,heat,fills,total,cagr,maxDD,mean_mo,med_mo,worst_mo,pos_mo,ge10,n_mo,breach,breach_dt,survived
IS_k40,0.005,0.06,183,0.8633956365007811,93299845962.66663,0.09283332250973023,0.8633956365007811,0.8633956365007811,0.8633956365007811,1.0,1.0,1,daily_loss,2021-01-11 03:36:00+00:00,False
IS_k40,0.0075,0.01,22,0.0551283820538635,7.826874975485708,0.03019397686771249,0.0551283820538635,0.0551283820538635,0.0551283820538635,1.0,0.0,1,daily_loss,2021-01-11 16:35:00+00:00,False
IS_k40,0.0075,0.02,44,0.13947127868213482,199.08396700786972,0.0433383457761206,0.13947127868213482,0.13947127868213482,0.13947127868213482,1.0,1.0,1,daily_loss,2021-01-11 14:11:00+00:00,False
IS_k40,0.0075,0.03,30,0.1664384306842328,1624201336727.3198,0.030296909342934504,0.1664384306842328,0.1664384306842328,0.1664384306842328,1.0,1.0,1,daily_loss,2021-01-04 10:17:00+00:00,False
IS_k40,0.0075,0.06,49,0.40098153649616686,5.523561563298237e+26,0.030278542748217712,0.40098153649616686,0.40098153649616686,0.40098153649616686,1.0,1.0,1,daily_loss,2021-01-04 10:17:00+00:00,False
IS_k40,0.01,0.01,21,0.08453565526353923,25.934708673576115,0.03464075070360123,0.08453565526353923,0.08453565526353923,0.08453565526353923,1.0,0.0,1,daily_loss,2021-01-11 14:11:00+00:00,False
IS_k40,0.01,0.02,41,0.1514738015577568,305.1216093733081,0.04982756568115949,0.1514738015577568,0.1514738015577568,0.1514738015577568,1.0,1.0,1,daily_loss,2021-01-11 06:48:00+00:00,False
IS_k40,0.01,0.03,23,0.17556362950928284,6740645898994.319,0.030324377810669007,0.17556362950928284,0.17556362950928284,0.17556362950928284,1.0,1.0,1,daily_loss,2021-01-04 09:40:00+00:00,False
IS_k40,0.01,0.06,38,0.39872730983097737,4.116224672498882e+26,0.039998710655030634,0.39872730983097737,0.39872730983097737,0.39872730983097737,1.0,1.0,1,daily_loss,2021-01-04 09:40:00+00:00,False
WF_k8,0.001,0.01,218,-0.06007246699126034,-0.5543173942539767,0.09297624978072637,-0.06007246699126034,-0.06007246699126034,-0.06007246699126034,0.0,0.0,1,static_dd,2023-01-29 09:11:00+00:00,False
