feature,side,bin,lo,hi,n,exp_r,lift,wr,n_test,exp_r_test
persist96,short,8,0.17301769694039237,0.22593164534379606,14007,-0.21198910805152532,0.04714931807667261,0.332048261583494,5185,-0.19709627261408058
pos24,long,3,0.34843218846791446,0.43491278257072835,14014,-0.21204237884351562,1.0632277272200672,0.3445126302269159,4371,-0.34281250361641524
to_lo96,long,1,1.6461646683671702,2.544808793095455,14007,-0.2121247620278966,1.0631453440356864,0.3306917969586635,5114,-0.30081773196870926
to_hi24,long,6,2.559107021104845,3.0339089370107075,14014,-0.2123897201680114,1.0628803858955715,0.34808049093763377,4727,-0.3159553787047
absorb_z,long,4,-0.0470671365506052,0.025667206705233023,12945,-0.2131802244355938,1.0620898816279891,0.3405948242564697,5135,-0.3476295766504281
to_hi24,long,5,2.155435617544831,2.559107021104845,14015,-0.2136358653028315,1.0616342407607515,0.3496254013556903,4621,-0.33096354937861644
tbi,short,5,-0.0025436609219689765,0.015593393459371174,14015,-0.2136658659786176,0.04547256014958034,0.33271494826971104,4132,-0.2447372025103208
ats_rank480,short,7,0.70625,0.8104166666666667,13990,-0.2138480830330047,0.045290343095193225,0.33738384560400286,5316,-0.32654930921473874
wick_skew,long,7,0.164083383828898,0.27883076610452817,14016,-0.21390558801729634,1.0613645180462865,0.3436786529680365,5256,-0.3433638845266305
since_lo24,short,0,-inf,2.0,10694,-0.21404648335662654,0.045091942771571386,0.3371049186459697,4735,-0.29341112495879035
disp24,long,3,-1.2872694758210321,-0.5802912703475717,14015,-0.2141962492101905,1.0610738568533924,0.34812700677845165,4813,-0.3228460791993601
sess_us,long,1,1.0,inf,46717,-0.21438799962352395,1.0608821064400589,0.3356379904531541,17174,-0.32081248924821004
dq,short,5,-0.004972700637300688,0.03129996686963383,14015,-0.2145342629648124,0.04460416316338553,0.3325008919015341,4130,-0.24410342355163547
dq_cum24,long,8,0.3958112518831991,0.6713955952125215,14002,-0.2145389945448716,1.0607311115187112,0.34245107841736894,4448,-0.35582744964737656
tbi_ma24,long,8,0.008202880343893215,0.013944643677421754,14002,-0.21455199460931043,1.0607181114542725,0.3425224967861734,4456,-0.35370337887964043
ats_z96,long,8,0.8542796379330873,1.382364735258838,13958,-0.21490359172581933,1.0603665143377636,0.33822897263218227,4549,-0.33960384859478243
to_hi96,long,2,2.2600579717380134,3.063145552888624,14008,-0.21501892553647017,1.0602511805271129,0.3405910908052541,5054,-0.28591338919037373
since_hi24,short,3,7.0,11.0,17327,-0.2150223722462542,0.04411605388194373,0.3414901598661049,6103,-0.2973010318435096
kyle_z,short,7,0.41136943888750743,0.7763344334518952,13958,-0.21518531242027325,0.04395311370792468,0.33658117208769167,5126,-0.30320595585281757
range_rank,short,6,0.6020833333333333,0.7041666666666667,13619,-0.21520589184933342,0.04393253427886451,0.3330641016227329,5045,-0.2710826317918425
since_hi480,short,9,466.0,inf,14180,-0.21525940158344462,0.043879024544753314,0.33829337094499295,5948,-0.1452281359637843
updn_ratio,long,4,0.4666666666666667,0.5,25463,-0.2155762625699562,1.0596938434936267,0.33205042610847113,8561,-0.3350774066936891
dow,short,0,-inf,1.0,20060,-0.21569396173636604,0.04344446439183189,0.33649052841475574,7295,-0.26914677433917605
