feature,thr,dir,n,frac,exp_r,lift,wr,monthly_R,pos_months,worst_month_R
absorb_z,0.12041437863045543,-1,1448,0.4270126806251843,0.22308183959590377,0.08048180463959934,0.3756906077348066,4.894280359619222,0.5454545454545454,-19.723296021571695
vol_of_vol,-0.3893312711999162,-1,1117,0.3294013565319965,0.22296238569830454,0.0803623507420001,0.40286481647269473,3.8913903878907217,0.640625,-18.090860505527356
tbi_ma8,-0.008327780066072262,-1,1542,0.4547331170746093,0.22285241552297314,0.0802523805666687,0.3754863813229572,5.206642799036736,0.4393939393939394,-14.106866997579644
atr_pct,0.015318442094708295,-1,629,0.18549100560306694,0.22284204290711196,0.08024200795080752,0.41017488076311603,2.6955316343956426,0.40384615384615385,-16.71871985583067
since_hi96,12.0,-1,1329,0.39191978767325275,0.22233174245371035,0.07973170749740591,0.3927765237020316,4.476952813954259,0.45454545454545453,-18.251240995157733
range_per_trade,1.3910673907259232e-07,1,746,0.219994102034798,0.2216841275682022,0.07908409261189775,0.37131367292225204,2.8029891384047265,0.4406779661016949,-12.645819852632549
tbi_ma8,-0.011067728445784481,-1,1243,0.3665585373046299,0.22167575723565433,0.07907572227934989,0.37248592115848755,4.174893427938156,0.5303030303030303,-11.920415965310449
dow,3.0,1,1578,0.4653494544382188,0.21961902317693552,0.07701898822063108,0.3745247148288973,5.250891190503094,0.5606060606060606,-23.81956876887682
since_hi96,88.0,1,545,0.16071955175464464,0.21948150126265506,0.07688146630635062,0.3724770642201835,1.8123851240628333,0.2878787878787879,-17.241664779567262
since_lo96,89.0,1,599,0.17664405780005898,0.21937857144250789,0.07677853648620345,0.3989983305509182,2.053246317094722,0.484375,-9.145806808199868
tbi,-0.010154683391366465,-1,1490,0.43939840754939546,0.21802406435646796,0.07542402940016352,0.3718120805369127,4.922058422592988,0.48484848484848486,-15.27279426396312
tbi_ma8,-0.009680633742236879,-1,1402,0.4134473606605721,0.21599746646531848,0.07339743150901404,0.3723252496433666,4.5883098179451,0.45454545454545453,-12.613549814755443
dq,-0.020148928832343732,-1,1484,0.4376290179887939,0.21561705857373611,0.07301702361743168,0.37264150943396224,4.848116892779158,0.48484848484848486,-15.27279426396312
